#####################################################################
# Alchemist log file - simulation started at: 2025-04-29T08:31+0000 #
#####################################################################
#
# seed = 1.0, areas = 5, lossThreshold = 40.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.64 2.64 2.64 0.00 1.8641301393508911 1.8641301393508911 1.8641301393508911 0.0 0.609375 0.609375 0.609375 0.0
1.1 56.0 0.2535147875882185 0.0 2.6594314706635567 2.24406004030917 0.5514970793095791 1.43 2.76 2.66 0.0297 1.789030909538269 3.8501349687576294 2.208589194076402 0.4742689756668955 0.21875 0.8051948051948052 0.5481650046382189 0.013188866592406789
2.1 19.0 0.4923872913494797 6.0 1.3956805468121947 1.2660097034452018 0.7324430777555777 0.839 1.52 1.40 0.00762 0.872033953666687 2.2857534885406494 1.2507095304983005 0.18072194630460434 0.515625 0.875 0.728178629406308 0.005930024831429905
3.1 8.0 0.6479659726637187 0.0 0.8319609262951275 0.9107422652363922 0.7760256063381064 0.651 1.04 0.841 0.00708 0.5188620686531067 1.6890524625778198 0.9063459666711943 0.09338683086900211 0.625 0.90625 0.7720532815398887 0.0039094425296028685
4.1 7.0 0.6247120519908502 0.0 0.8351197801729953 0.8965549018138494 0.7849308677433677 0.544 1.32 0.837 0.0351 0.44325020909309387 1.9378846883773804 0.8873098460691317 0.1344616008155347 0.640625 0.90625 0.7821486549165121 0.0031443441657010573
5.1 5.0 0.7931815238495303 0.0 0.5914736391056116 0.7447691124590327 0.8011957140082139 0.393 0.843 0.600 0.0152 0.34278154373168945 1.4090458154678345 0.7419840129358427 0.07620866430928654 0.6875 0.90625 0.7981831226808905 0.0026277958680004715
6.1 5.0 0.9497919948135249 0.0 0.46670079722640273 0.6734117891150954 0.8114845917970918 0.262 0.679 0.476 0.0109 0.2937523126602173 1.284138262271881 0.6726488928709712 0.05720207334736986 0.671875 0.921875 0.8079378768552876 0.002803897360287174
7.1 5.0 0.5710688589500565 0.0 0.5817573808836631 0.6954494372152147 0.816339597902098 0.281 0.821 0.593 0.0153 0.26113003492355347 1.3614476323127747 0.6937756714011941 0.06922185298619667 0.703125 0.921875 0.8146343054267161 0.002562824074990711
8.1 3.0 0.7410892021172069 0.0 0.4536560002247711 0.640182563765509 0.8229608238983239 0.206 0.665 0.465 0.0115 0.26113003492355347 1.257418155670166 0.6395074759743044 0.056171823350953325 0.71875 0.921875 0.8205842706400742 0.0021826967373653355
